origem_latitude,origem_longitude,dest_realizado_latitude,dest_realizado_longitude,distancia_text,distancia_value,duracao_text_Google,duracao_value_Google,endereco_origem,endereco_destino
-22.875688,-47.124929,-23.962603,-46.297071,179 km,179236.0,2 hours 31 mins,9058.0,"R. Osvaldo Blum, 75 - Parque Via Norte, Campinas - SP, 13065-710, Brazil","Vicente de Carvalho, Guarujá - State of São Paulo, Brazil"
-22.875688,-47.124929,-23.926389,-46.341944,171 km,171222.0,2 hours 18 mins,8305.0,"R. Osvaldo Blum, 75 - Parque Via Norte, Campinas - SP, 13065-710, Brazil","Av. Eng. Augusto Barata, 199 - Porto Saboó, Santos - SP, 11081, Brazil"
-23.642804,-46.325548,-23.927778,-46.371111,64.7 km,64722.0,1 hour 10 mins,4199.0,"R. José Augusto Dos Santos, 116 - Parque Palmeiras, Suzano - SP, 08630-565, Brazil","Rod. Anchieta - Chico de Paula, Santos - SP, 11095-000, Brazil"
-26.903933,-48.71163,-26.242207,-48.638987,89.9 km,89930.0,1 hour 20 mins,4820.0,"R. Francisco Reis, 1205 - Cordeiros, Itajaí - SC, 88311-750, Brazil","R. Fernandes Dias, 77 - Centro, São Francisco do Sul - SC, 89240-000, Brazil"
-23.947927,-46.315956,-25.511146,-54.565616,"1,130 km",1129870.0,13 hours 56 mins,50141.0,"Av. Álvaro Fontes, 17 - Docas, Santos - SP, 11013-720, Brazil","Rua Edgard Schimmelpfeng, 640 - Imóvel Acaraizinho, Foz do Iguaçu - PR, 85863-640, Brazil"
-23.924202,-46.372288,-23.922774,-46.318757,34.6 km,34604.0,39 mins,2351.0,"R. Eustáquio Alves de Souza, 1055 - Alemoa, Santos - SP, 11095-550, Brazil","Unnamed Road, Santos - SP, Brazil"
-12.832,-38.4034,-23.928333,-46.369167,"2,004 km",2004268.0,1 day 4 hours,100711.0,"Unnamed Road, Simões Filho - BA, 43700-000, Brazil","Av. Marginal da Anchieta S/N - Chico de Paula, Santos - SP, 11095-000, Brazil"
-19.706232,-47.979743,-23.425529,-46.487609,512 km,511682.0,6 hours 3 mins,21760.0,"Av. Cel. Zacarias Borges de Araújo, 532 - Distrito Industrial I, Uberaba - MG, 38064-700, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
-19.375669,-43.57543,-22.828385,-43.246138,536 km,536360.0,7 hours 52 mins,28292.0,"Jaboticatubas, MG, 35830-000, Brazil","Unnamed Road - Galeão, Rio de Janeiro - RJ, 21941-570, Brazil"
-23.681718,-46.697327,-23.425529,-46.487609,60.6 km,60581.0,1 hour 2 mins,3704.0,"Av. das Nações Unidas, 22428 - Jurubatuba, São Paulo - SP, 04775, Brazil","R. Interna do Aeroporto Internacional de Guarulhos, 321 - Aeroporto, Guarulhos - SP, Brazil"
