origem_latitude,origem_longitude,dest_realizado_latitude,dest_realizado_longitude
-26.241231,-48.879787,-26.242207,-48.638987
-22.441430,-44.368614,-28.590784,-56.030806
-23.642804,-46.325548,-33.672274,-53.444504
-23.927778,-46.371111,-23.922908,-46.353124
-25.532708,-49.174669,-10.940950,-69.567460
-29.894283,-51.173923,-29.747888,-57.083624
-28.234812,-48.667916,-23.425529,-46.487609
-22.842349,-47.150053,-23.926389,-46.341944
-22.842349,-47.150053,-23.924656,-46.345949
-19.947702,-44.160691,-25.511146,-54.565616
-20.328086,-40.309449,-22.895512,-43.183987
-23.262304,-45.950952,-33.672274,-53.444504
-23.747239,-46.559391,-23.962603,-46.297071
-23.681718,-46.697327,-23.970583,-46.296805
-8.365199,-35.043825,-23.927778,-46.371111
-20.239831,-40.370722,-20.328086,-40.309449
-20.239831,-40.370722,-20.259270,-40.296372
-22.876618,-43.211749,-22.828385,-43.246138
-22.375077,-41.780680,-23.008442,-47.144659
-3.029735,-60.041227,-23.008442,-47.144659
-19.375669,-43.575430,-19.375669,-43.575430
-22.842349,-47.150053,-19.022251,-57.689835
-22.811720,-43.287049,-22.895512,-43.183987
-8.392991,-34.971536,-8.128981,-34.918344
-16.397060,-48.932505,-23.425529,-46.487609
-26.950575,-48.750261,-23.425529,-46.487609
-22.876618,-43.211749,-22.895512,-43.183987
-26.880534,-48.649086,-25.532708,-49.174669
-12.970800,-38.513900,-23.962603,-46.297071
-22.875688,-47.124929,-23.928333,-46.369167
-22.876618,-43.211749,-22.930628,-43.838309
-8.248064,-34.999148,-8.392991,-34.971536
-23.748410,-46.583398,-23.748410,-46.583398
-23.613097,-46.545183,-23.924656,-46.345949
-20.233624,-40.372041,-20.259270,-40.296372
-29.715709,-51.111095,-23.008442,-47.144659
-32.030602,-52.094417,-23.962603,-46.297071
-29.715709,-51.111095,-23.947500,-46.277222
-25.532708,-49.174669,-23.928333,-46.369167
-23.538573,-46.755232,-23.962603,-46.297071
-16.397060,-48.932505,-19.022251,-57.689835
-22.811720,-43.287049,-28.590784,-56.030806
-23.937382,-46.364221,-23.957539,-46.275117
-23.538573,-46.755232,-23.926389,-46.341944
-23.747239,-46.559391,-23.747239,-46.559391
-22.530099,-43.065578,-22.895512,-43.183987
-22.313276,-49.133789,-23.008442,-47.144659
-18.856357,-43.575430,-19.632770,-43.964248
-3.155787,-59.990834,-3.151545,-59.997958
-23.262304,-45.950952,-29.747888,-57.083624
-23.423586,-47.358660,-23.957539,-46.275117
-23.748410,-46.583398,-29.747888,-57.083624
-23.052352,-45.625589,-23.926389,-46.341944
-29.715709,-51.111095,-33.672274,-53.444504
-23.923944,-46.386619,-23.922908,-46.353124
-23.949724,-46.313000,-23.926389,-46.341944
-25.595218,-54.488828,-3.029735,-60.041227
-23.747239,-46.559391,-23.970583,-46.296805
-1.438763,-48.494448,-1.387621,-48.479569
-23.923007,-46.381522,-23.923007,-46.381522
-25.517412,-49.321523,-19.022251,-57.689835
-23.923007,-46.381522,-23.970583,-46.296805
-22.930628,-43.838309,-22.895512,-43.183987
-23.262304,-45.950952,-23.947500,-46.277222
-23.923007,-46.381522,-23.922774,-46.318757
-22.441430,-44.368614,-23.957539,-46.275117
-23.223612,-45.861625,-15.872229,-47.922192
-29.715709,-51.111095,-23.962603,-46.297071
-21.586401,-45.470720,-23.924656,-46.345949
-23.573073,-46.604626,-25.511146,-54.565616
-19.947702,-44.160691,-29.747888,-57.083624
-23.223612,-45.861625,-23.223612,-45.861625
-15.652592,-56.119126,-23.425529,-46.487609
-18.522340,-48.161480,-23.962603,-46.297071
-22.925891,-42.078086,-22.895512,-43.183987
-22.925891,-42.078086,0.050013,-51.069298
-23.538573,-46.755232,-23.928333,-46.369167
-23.262304,-45.950952,-25.511146,-54.565616
-28.234812,-48.667916,-26.904543,-48.656028
-23.573073,-46.604626,-23.970583,-46.296805
-25.517412,-49.321523,-33.672274,-53.444504
-25.517412,-49.343685,-25.532708,-49.174669
-23.423586,-47.358660,-33.672274,-53.444504
-5.764685,-35.375289,-23.008442,-47.144659
18.856357,41.941383,-22.804953,-43.256672
-25.517412,-49.321523,-28.590784,-56.030806
-23.262304,-45.950952,-23.922908,-46.353124
-23.757186,-46.582209,-23.970583,-46.296805
-23.052352,-45.625589,-23.922774,-46.318757
-23.538573,-46.755232,-33.672274,-53.444504
-16.397060,-48.932505,-23.922908,-46.353124
-29.715709,-51.111095,-25.511146,-54.565616
-25.517412,-49.343685,-25.517412,-49.343685
-23.538573,-46.755232,-23.970583,-46.296805
-23.924612,-46.344577,-23.970583,-46.296805
-15.662750,-55.982554,-15.662750,-55.982554
-25.595218,-54.488828,-23.425529,-46.487609
-21.586401,-45.470720,-21.586401,-45.470720
-26.903933,-48.711630,-26.903933,-48.711630
23.806797,45.400555,-23.806797,-45.400555
-23.924202,-46.372288,-23.924656,-46.345949
-23.963539,-45.400555,-23.806797,-45.400555
-23.922774,-46.318757,-23.425529,-46.487609
-26.242207,-48.638987,-25.532708,-49.174669
-23.757186,-46.582209,-23.922774,-46.318757
-23.605450,-46.665641,-23.425529,-46.487609
-22.873494,-43.233163,-22.873494,-43.233163
-22.883073,-43.236652,-22.930628,-43.838309
-26.242207,-48.638987,-23.008442,-47.144659
-22.811720,-43.287049,-29.747888,-57.083624
-3.778340,-38.534974,-22.828385,-43.246138
-23.538573,-46.755232,-23.949724,-46.313000
-23.223612,-45.861250,-3.029735,-60.041227
-16.632042,-49.228669,-23.008442,-47.144659
-22.828385,-43.246138,-29.747888,-57.083624
-23.681718,-46.697327,-23.924612,-46.344577
-23.573073,-46.604626,-23.922908,-46.353124
-19.947702,-44.160691,-23.425529,-46.487609
-29.132459,-51.190494,-29.715709,-51.111095
23.963539,46.291054,-23.963539,-46.291054
-23.931667,-46.365000,-23.425529,-46.487609
-27.670113,-48.548154,-12.914071,-38.328995
-26.241231,-48.879787,-33.672274,-53.444504
-25.517412,-49.321523,-25.517412,-49.321523
-23.747239,-46.559391,-23.927778,-46.371111
-8.392991,-34.971536,-8.392991,-34.971536
-28.234812,-48.667916,-23.008442,-47.144659
-23.052352,-45.625589,-23.052352,-45.625589
-23.947500,-46.277222,-23.928333,-46.369167
-22.895512,-43.183987,-22.930628,-43.838309
-23.538573,-46.755232,-23.924612,-46.344577
-18.522340,-48.161480,-23.922774,-46.318757
-26.223333,-48.800833,-23.008442,-47.144659
-23.642804,-46.325548,-23.924612,-46.344577
-23.262304,-45.950952,-19.022251,-57.689835
-18.522340,-48.161480,-23.425529,-46.487609
-22.811720,-43.287049,-22.930628,-43.838309
-23.528605,-46.740544,-23.528605,-46.740544
18.856357,43.575430,-23.425529,-46.487609
-8.365199,-35.043825,-3.549535,-38.819589
-23.423586,-47.358660,-23.970583,-46.296805
-23.927222,-46.334722,-23.962603,-46.297071
-23.949724,-46.313000,-23.922774,-46.318757
-23.008442,-47.144659,-8.128981,-34.918344
-23.747239,-46.559391,-23.926389,-46.341944
-15.662750,-55.982554,-23.922908,-46.353124
-20.227518,-40.368443,-23.926389,-46.341944
-23.959090,-46.314841,-23.970583,-46.296805
-23.535410,-47.462849,-23.425529,-46.487609
-26.950575,-48.750261,-23.008442,-47.144659
-15.872229,-47.922192,-23.425529,-46.487609
-23.223612,-45.861625,-29.989934,-51.176718
-20.227518,-40.368443,-23.425529,-46.487609
-23.931667,-46.365000,-23.927778,-46.371111
-23.757186,-46.582209,-23.757186,-46.582209
-22.875688,-47.124929,-23.922774,-46.318757
-20.227518,-40.368443,-20.227518,-40.368443
-8.392991,-34.971536,-23.922774,-46.318757
-20.328086,-40.309449,-23.922774,-46.318757
-23.924612,-46.344577,-23.425529,-46.487609
-26.904543,-48.656028,-25.511146,-54.565616
-29.771832,-57.045485,-30.390475,-56.453167
-23.613097,-46.545183,-23.970583,-46.296805
-19.706232,-47.979743,-19.706232,-47.979743
-12.914071,-38.328995,-23.008442,-47.144659
-25.505405,-48.517371,-26.242207,-48.638987
-23.926389,-46.341944,-23.970583,-46.296805
-25.532708,-49.174669,-25.505405,-48.517371
-25.595218,-54.488828,0.050013,-51.069298
-23.681718,-46.697327,-23.926389,-46.341944
-29.894283,-51.173923,-25.532708,-49.174669
-26.904543,-48.656028,-23.922774,-46.318757
-22.811720,-43.287049,-23.970583,-46.296805
-25.517412,-49.321523,-25.532708,-49.174669
-23.642804,-46.325548,-27.573619,-54.672925
-26.880534,-48.649086,-23.008442,-47.144659
-23.262304,-45.950952,-23.928333,-46.369167
-23.223612,-45.861625,-3.029735,-62.041227
-29.132459,-51.190494,-23.425529,-46.487609
-29.894283,-51.173923,-22.828385,-43.246138
-22.822563,-43.281313,-22.930628,-43.838309
